GX,GY,GZ,AX,AY,AZ,SX,SY,SZ,TA,TS
612.000000,-26.000000,954.000000,650.000000,-22.000000,1013.000000,40042.000000,664.000000,70824.000000,81362.409232,70.292247
613.000000,-26.000000,966.000000,647.000000,-19.000000,1268.000000,40756.000000,811.000000,77166.000000,87271.420368,303.988487
614.000000,-27.000000,968.000000,647.000000,-31.000000,1024.000000,41449.000000,727.000000,78342.000000,88634.175655,65.122961
615.000000,-27.000000,970.000000,662.000000,-9.000000,1024.000000,42483.000000,1123.000000,79530.000000,90172.541929,73.817342
615.000000,-27.000000,971.000000,636.000000,-14.000000,1023.000000,42924.000000,1396.000000,80622.000000,91347.279522,57.567352
615.000000,-27.000000,972.000000,639.000000,-17.000000,1008.000000,43404.000000,1596.000000,81342.000000,92211.579511,44.407207
615.000000,-27.000000,973.000000,645.000000,-15.000000,1016.000000,44034.000000,1848.000000,82245.000000,93309.422273,53.786615
615.000000,-27.000000,973.000000,643.000000,-21.000000,1002.000000,44622.000000,1974.000000,82854.000000,94126.536513,40.755368
615.000000,-28.000000,973.000000,646.000000,-31.000000,1000.000000,45242.000000,1914.000000,83394.000000,94895.000901,41.218928
615.000000,-29.000000,974.000000,639.000000,-31.000000,1007.000000,45746.000000,1872.000000,84087.000000,95743.534868,40.853396
616.000000,-29.000000,975.000000,652.000000,-28.000000,1011.000000,46502.000000,1893.000000,84843.000000,96769.592859,50.921508
616.000000,-29.000000,976.000000,634.000000,-22.000000,1014.000000,46880.000000,2040.000000,85641.000000,97653.862602,42.626283
616.000000,-29.000000,977.000000,639.000000,-20.000000,1020.000000,47386.000000,2238.000000,86587.000000,98730.695374,49.588305
616.000000,-29.000000,978.000000,630.000000,-13.000000,1028.000000,47666.000000,2558.000000,87587.000000,99750.055083,54.332311
616.000000,-29.000000,978.000000,640.000000,-19.000000,1015.000000,48170.000000,2768.000000,88364.000000,100678.732710,45.221676
616.000000,-29.000000,978.000000,635.000000,-27.000000,997.000000,48569.000000,2810.000000,88763.000000,101221.114546,26.944387
616.000000,-29.000000,978.000000,649.000000,-9.000000,1010.000000,49262.000000,3230.000000,89435.000000,102155.747606,50.129831
616.000000,-29.000000,978.000000,644.000000,-10.000000,996.000000,49822.000000,3610.000000,89795.000000,102754.103611,38.327536
616.000000,-29.000000,978.000000,639.000000,-4.000000,1013.000000,50305.000000,4135.000000,90530.000000,103650.239508,48.774994
