GX,GY,GZ,AX,AY,AZ,SX,SY,SZ,TA,TS
1590.360000,1129.280000,-256.360000,300.000000,-199.000000,1147.000000,-1250.036586,-1301.409906,1395.819268,2281.352809,2323.526625
1541.269231,1078.230769,-202.384615,314.000000,-198.000000,1147.000000,-1276.285420,-1328.705929,1424.679906,2328.964739,2226.161176
1495.444444,1030.555556,-152.962963,304.000000,-209.000000,1132.000000,-1301.551191,-1354.991944,1451.928831,2374.475943,2146.431377
1452.714286,986.571429,-106.892857,299.000000,-201.000000,1137.000000,-1326.807150,-1380.989070,1479.158890,2419.805581,2070.906080
1412.965517,945.689655,-63.379310,300.000000,-199.000000,1155.000000,-1350.883933,-1405.752142,1505.516089,2463.250937,2008.346283
1376.166667,907.233333,-22.600000,309.000000,-208.000000,1160.000000,-1373.743711,-1429.641555,1530.848564,2504.904007,1944.513523
1341.645161,871.516129,15.161290,306.000000,-200.000000,1148.000000,-1395.557505,-1452.210899,1554.709545,2544.330760,1871.905782
1309.531250,838.156250,50.468750,314.000000,-196.000000,1145.000000,-1416.892735,-1474.373902,1578.166445,2583.016212,1805.148270
1278.939394,806.909091,83.303030,300.000000,-193.000000,1134.000000,-1437.953637,-1495.885946,1600.771139,2620.659014,1749.887039
1250.411765,777.470588,115.029412,309.000000,-194.000000,1162.000000,-1457.184796,-1515.731147,1622.158654,2655.602971,1710.601832
1223.600000,749.800000,144.685714,312.000000,-191.000000,1153.000000,-1476.155192,-1535.309195,1643.141675,2690.004283,1653.123377
1197.944444,723.527778,172.416667,300.000000,-196.000000,1143.000000,-1495.003944,-1554.611003,1663.515190,2723.808905,1610.548840
1173.918919,698.621622,198.729730,309.000000,-198.000000,1146.000000,-1512.874899,-1573.136999,1683.087688,2756.144888,1565.035474
1151.131579,674.815789,223.526316,308.000000,-206.000000,1141.000000,-1530.772053,-1591.834075,1702.562902,2788.533528,1525.930954
1129.512821,652.307692,247.358974,308.000000,-203.000000,1153.000000,-1547.751080,-1609.511575,1721.280690,2819.373713,1492.186393
1108.800000,631.050000,269.950000,301.000000,-198.000000,1151.000000,-1564.739114,-1626.946496,1739.809172,2849.964798,1454.686855
1089.243902,611.073171,291.463415,307.000000,-188.000000,1152.000000,-1581.477569,-1644.045064,1758.222934,2880.156829,1411.009096
1070.857143,592.047619,311.880952,317.000000,-188.000000,1149.000000,-1597.463110,-1660.585974,1775.974043,2909.212602,1370.234717
1053.000000,573.744186,331.116279,303.000000,-195.000000,1139.000000,-1612.712110,-1676.216081,1792.399935,2936.535071,1343.928469
1036.113636,556.159091,349.977273,310.000000,-200.000000,1161.000000,-1627.866827,-1691.997877,1809.326790,2964.198148,1325.434060
1019.844444,539.511111,367.911111,304.000000,-193.000000,1157.000000,-1642.676217,-1707.152067,1825.651461,2990.945769,1292.929647
1004.217391,523.304348,385.021739,301.000000,-206.000000,1155.000000,-1657.300326,-1722.318680,1841.663929,3017.408165,1272.503852
989.468085,507.914894,401.382979,311.000000,-200.000000,1154.000000,-1671.793761,-1737.441158,1857.741334,3043.813237,1236.080426
975.187500,493.333333,417.000000,304.000000,-192.000000,1151.000000,-1685.480617,-1751.416475,1872.709062,3068.443223,1207.861928
961.612245,479.020408,432.469388,310.000000,-208.000000,1175.000000,-1699.042623,-1765.715431,1888.163352,3093.486328,1203.306806
948.520000,465.600000,447.000000,307.000000,-192.000000,1159.000000,-1712.261142,-1779.265279,1902.834112,3117.434973,1162.295001
948.520000,465.600000,447.000000,305.000000,-197.000000,1158.000000,-1725.841345,-1793.248127,1917.838345,3142.032958,1165.623331
948.520000,465.600000,447.000000,295.000000,-205.000000,1160.000000,-1739.187530,-1806.943120,1932.399231,3166.067512,1176.928949
948.520000,465.600000,447.000000,296.000000,-193.000000,1167.000000,-1752.788005,-1820.670320,1947.406191,3190.532412,1173.855319
